2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   2,1; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4885.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   2,2; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4884.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   2,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4883.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   2,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4882.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   1,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4881.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   1,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4881.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   2,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4880.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   3,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4879.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   4,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4878.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   5,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4877.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   6,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4876.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   7,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4875.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   8,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4874.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   9,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4873.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  10,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4872.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4871.0; Tile: ROAD
2019-05-29 14:46:16 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  12,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4870.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  13,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4869.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  14,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4868.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  15,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4867.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4866.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  17,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4865.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  18,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4864.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  19,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4863.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  20,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4862.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  21,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4861.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  22,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4860.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  23,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4859.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  24,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4858.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  25,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4857.0; Tile: ROAD
2019-05-29 14:46:17 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  26,4; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4856.0; Tile: ROAD
